15-10-2019 08:08:11 - access_log --> UNKNOWN|user|NO_MSISDN|Dashboard|http://localhost:8000/dashboard|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36|windows|||
15-10-2019 08:08:18 - access_log --> UNKNOWN|user|NO_MSISDN||http://localhost:8000/service-list|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36|windows|||
15-10-2019 08:08:21 - access_log --> UNKNOWN|user|NO_MSISDN||http://localhost:8000/all-services?_=1571126899286|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36|windows|||
15-10-2019 08:08:36 - access_log --> UNKNOWN|user|NO_MSISDN||http://localhost:8000/add-service|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36|windows|||
15-10-2019 08:09:00 - access_log --> UNKNOWN|user|NO_MSISDN||http://localhost:8000/add-service|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36|windows|||
15-10-2019 08:11:32 - access_log --> UNKNOWN|user|NO_MSISDN||http://localhost:8000/add-service|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36|windows|||
15-10-2019 08:14:09 - access_log --> UNKNOWN|user|NO_MSISDN||http://localhost:8000/service-list|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36|windows|||
15-10-2019 08:14:11 - access_log --> UNKNOWN|user|NO_MSISDN||http://localhost:8000/all-services?_=1571127250303|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36|windows|||
15-10-2019 08:14:24 - access_log --> UNKNOWN|user|NO_MSISDN||http://localhost:8000/add-service|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36|windows|||
15-10-2019 08:14:29 - access_log --> UNKNOWN|user|NO_MSISDN||http://localhost:8000/service-list|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36|windows|||
15-10-2019 08:14:31 - access_log --> UNKNOWN|user|NO_MSISDN||http://localhost:8000/all-services?_=1571127269889|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36|windows|||
15-10-2019 08:14:49 - access_log --> UNKNOWN|user|NO_MSISDN||http://localhost:8000/add-sub-service|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36|windows|||
